keyword,query,value
Bluetooth headphones,headphones wireless,100
Bluetooth headphones,bluetooth earbuds,33
Bluetooth headphones,sony bluetooth headphones,16
Bluetooth headphones,headphone,8
OLED TV,lg oled tv,100
OLED TV,samsung oled tv 55 inch,6
OnePlus 12,oneplus 13,100
OnePlus 12,oneplus 14,36
iPhone 15,15 pro,100
iPhone 15,iphone 15 pro,97
iPhone 15,15 pro max,49
iPhone 15,iphone 15 pro max,49
iPhone 15,iphone 15 price,47
iPhone 15,iphone 16,33
iPhone 15,iphone 15 pro price,27
iPhone 15,iphone 15 cover,26
iPhone 15,iphone 14,22
iPhone 15,iphone 16 pro,22
iPhone 15,iphone 15 case,20
iPhone 15,iphone 15 plus,19
iPhone 15,iphone 13,17
iPhone 15,iphone 17,16
iPhone 15,apple iphone 15,15
iPhone 15,iphone 15 pro max price,14
iPhone 15,iphone 14 pro,14
iPhone 15,iphone 15 price in india,12
iPhone 15,iphone 16 pro max,12
iPhone 15,iphone 17 pro,10
iPhone 15,iphone 13 pro,10
iPhone 15,iphone 15 pro price in india,9
iPhone 15,iphone 16 price,9
iPhone 15,iphone 12,8
iPhone 15,iphone 14 pro max,8
